neighborhood,number,detail
Tribeca,10,"3 bed, 2 bath, 3,820 sq ft, $30,000/month"
Midtown East,9,"4 bed, 4 bath, 3,454 sq ft, $34,000/month"
Upper East Side,8,"5 bed, 5"
Upper West Side,7,"7 bed, 6"
Flatiron District,6,"3 bed, 3 bath, 2,849 sq ft, $38,000/month"
Theater District,5,"4 bed, 4"
Upper East Side,4,"5 bed, 5 bath, 7,200 sq ft, $75,000/month"
Upper East Side,3,"1 bed, 2 bath, 1,075 sq ft, $90,000/month"
West Village,2,"5 bed, 4 bath, $95,000/month"
Hellâ€™s Kitchen,1,"5 bed, 6 bath, $100,000/month"
